np,title,date,appends,subindex_count
http://purl.org/np/RAM-2ntLXzb2WY1VM_gTrVQDydc6cSVG0fMgB26HmIhnU,Linked Drug-Drug Interactions (LIDDI) dataset v1.02,2018-03-30T16:18:23.447+02:00,http://purl.org/np/RAFWabNamUmb7ShXLO63LDKDWa2TnlujHH8rOT-OIPJ24,0
http://purl.org/np/RAbyBsPKDTg5OGzkHuk4GM47PQxb4uOtRluFpSaXZn-Rw,Drug data extracted from Drugbank via Bio2RDF,2018-03-30T11:35:56.859+02:00,,5
http://purl.org/np/RAK_mkjiDrgvlttNWZHgBcRrpepiAiRgVBopYcKUZqUN4,Drug target relations extracted from Drugbank via Bio2RDF,2018-03-30T11:32:30.402+02:00,http://purl.org/np/RAJst-n-XTRNscBhLtlJau0Z3oD7mGfj8WcBOSG1EpzYg,0
http://purl.org/np/RAZUFR72KsiOtMWlxTSyGnZzQZylkBItGXDVe0ADmHUOs,Drug target data extracted from Drugbank via Bio2RDF,2018-03-30T11:32:20.211+02:00,http://purl.org/np/RAmn9j1Pe56bcxWIq79gOyf197sfXdcdT39Wy3LZuJkME,0
http://purl.org/np/RAMYp-s7FxlewSUzyh2LLSQbXnjngkuNXCjlIkDe5h0TY,Food interaction data for drugs extracted from Drugbank via Bio2RDF,2018-03-30T11:32:15.927+02:00,,0
http://purl.org/np/RAUgzHCC5Z0uH8v89Bddd9NMdTn7ctK7vZHpOve7YPaG4,Drug-drug interaction data extracted from Drugbank via Bio2RDF,2018-03-30T11:32:14.999+02:00,http://purl.org/np/RAG1KgcXkZV1oNM0xGn28Ki-WiOo_R47whIOLgnd6Blzg,0
http://purl.org/np/RAD3LTE5gKujkUmYPfY0yhxZHeYW5kwpF_f3YBxYoB7AA,Core drug data extracted from Drugbank via Bio2RDF,2018-03-30T11:32:06.591+02:00,http://purl.org/np/RAmKK_UI3lpslpCyQN71lWa0s-lDHOPE_65MktVI_SFNo,0
http://purl.org/np/RAxem_NvV-uMTtUXUePxcdib0xw90bT1TExLJQp-Z7cgA,"Nanopublications extracted from WikiPathways, incremental dataset, 20180310",2018-03-30T09:02:02.202+02:00,,3
http://purl.org/np/RAMjL9sevrzITxZdeB_tUqfRABp5PlTYhdiNcq_kKz440,Nanopubs covering pathwayParticipation extracted from WikiPathways version 20180310,2018-03-30T09:02:01.844+02:00,http://purl.org/np/RAScMf3aQq4m8LOQHzU4CwQKfT77AFPdM1IzUmhQxSgb8,0
http://purl.org/np/RA4pAKrybhUh4Y6qazLEitSZ7rXqcxUrGVezfmT4yhIdQ,Nanopubs covering interactions extracted from WikiPathways version 20180310,2018-03-30T09:01:48.198+02:00,http://purl.org/np/RApvDrVzQi3SVkxQti1Gue1tXa5JB8bCjDM7AMThNdQ4E,0
http://purl.org/np/RA1AMnSjbML9T4WDOsTZu5UDhD7Mr8ExIvztGd4Y4uJfk,Nanopubs covering complexes extracted from WikiPathways version 20180310,2018-03-30T09:01:27.330+02:00,,0
http://purl.org/np/RAkIUxPxzVhUMNZ8up0ivmR3th6-qhFvf7LX6oJM78xws,"Nanopublications extracted from WikiPathways, incremental dataset, 20180210",2018-03-30T08:59:37.838+02:00,,3
http://purl.org/np/RAt5TYmiahHGyJ3DOC1-Ys95tGb2Yn4EYwXDuNSpZ5Lqw,Nanopubs covering pathwayParticipation extracted from WikiPathways version 20180210,2018-03-30T08:59:37.195+02:00,http://purl.org/np/RAVqvyNrgyKVp7auLL703bWfuNyh2-ublRdhD3nG7eNbE,0
http://purl.org/np/RAje8Xo6w9QRPOzaLLaOHvCPFT7frFf3WlJBZY9oui0_I,Nanopubs covering interactions extracted from WikiPathways version 20180210,2018-03-30T08:59:23.792+02:00,http://purl.org/np/RAzSVPE1vwdk9v-pOpBCf2aEtbKtd2LjmoCtFO6NN3GUw,0
http://purl.org/np/RAMBAEXMXBFUJSO8jVsYdhqmys2VU-oqlMcxiJTzFrv8w,Nanopubs covering complexes extracted from WikiPathways version 20180210,2018-03-30T08:59:02.557+02:00,,0
